rank,value_score,model,year,km,price,motivation_score,price_drop_pct,num_price_cuts,bump_count,days_on_market,is_clean,is_bayi,damage_changed_count,damage_painted_count,damage_local_painted_count,feature_count,battery,seller_type,heavy_damage_record,km_per_year,price_score,km_score,damage_score,feature_score,depr_score,trim_mult,clean_bonus,bayi_bonus,new_changed_penalty,price_history,dq_reason,sahibinden_id,title,url
95,54.1,4S,2020,75700,6600000,42.1,6.4,4,4,71,Yes,Yes,0.0,0.0,0.0,0.0,PB Plus (93.4 kWh),Galeriden,Hayır,12617,0.63,0.579,1.0,0.0,0.1,1.0,5.0,3.0,0.0,"7,050,000 (15 Apr 26) -> 6,950,000 (04 May 26) -> 6,790,000 (09 Jun 26) -> 6,745,000 (17 Jun 26) -> 6,600,000 (25 Jun 26)",,1308873991,PANOK-2020 PORSCHE TAYCAN 4S PERFORMANCE PLUS-571HP-BAYİ,https://www.sahibinden.com/ilan/vasita-otomobil-porsche-panok-2020-porsche-taycan-4s-performance-plus-571hp-bayi-1308873991/detay
96,53.5,Taycan,2021,83000,6750000,13.8,0.0,0,4,52,Yes,Yes,0.0,0.0,0.0,28.0,PB (79.2 kWh),Galeriden,Hayır,16600,0.525,0.447,1.0,0.491,0.25,0.95,5.0,3.0,0.0,"6,750,000 (04 May 26)",,1312645063,'W' Porsche Taycan 408HP 2021 Mod. 83.000 Km Airmatic/Bose/Bayii,https://www.sahibinden.com/ilan/vasita-otomobil-porsche-w-porsche-taycan-408hp-2021-mod-83.000-km-airmatic-bose-bayii-1312645063/detay
97,53.5,Taycan,2021,44000,6640000,27.0,4.5,1,4,71,Yes,No,0.0,0.0,0.0,0.0,PB (79.2 kWh),Galeriden,Hayır,8800,0.686,0.707,1.0,0.0,0.25,0.95,5.0,0.0,0.0,"6,950,000 (15 Apr 26) -> 6,640,000 (04 May 26)",,1311049157,2021-BOYASIZ-PORSCHE -TAYCAN-380HP-BOSE-­NAV-CAMTAVAN-ISITMA-,https://www.sahibinden.com/ilan/vasita-otomobil-porsche-2021-boyasiz-porsche-taycan-380hp-bose-nav-camtavan-isitma-1311049157/detay
98,53.1,Turbo S,2020,33700,9200000,1.6,0.0,0,0,14,Yes,Yes,0.0,0.0,0.0,32.0,PB Plus (93.4 kWh),Sahibinden,Hayır,5617,-0.081,0.813,1.0,0.561,0.1,1.08,5.0,3.0,0.0,"9,000,000 (11 Jun 26) -> 9,200,000 (25 Jun 26)",,1321697176,2020 TAYCAN TURBO S | İLK SAHİBİNDEN | DOĞUŞ ÇIKIŞLI | BURMESTER,https://www.sahibinden.com/ilan/vasita-otomobil-porsche-2020-taycan-turbo-s-ilk-sahibinden-dogus-cikisli-burmester-1321697176/detay
99,53.1,4S,2022,25000,8250000,23.1,0.0,0,6,100,No,Yes,2.0,0.0,0.0,46.0,PB Plus (93.4 kWh),Galeriden,Hayır,6250,0.453,0.792,0.5,0.807,0.4,1.0,0.0,3.0,0.0,"8,250,000 (17 Mar 26)",,1305220218,FF GARAGE TAYCAN 4S BAYİ/KIRMIZI'DE­Rİ/21'JANT/SOĞ­UTMA/YOLCU'EKRA,https://www.sahibinden.com/ilan/vasita-otomobil-porsche-ff-garage-taycan-4s-bayi-kirmizi-deri-21-jant-sogutma-yolcu-ekra-1305220218/detay
100,52.9,4S,2020,83000,6500000,25.3,0.0,0,5,138,Yes,No,0.0,0.0,0.0,0.0,PB Plus (93.4 kWh),Galeriden,Hayır,13833,0.757,0.539,1.0,0.0,0.1,1.0,5.0,0.0,0.0,"6,500,000 (07 Feb 26)",,1244033059,VOX 2020 PORSCHE TAYCAN 4S PERFORMANCE PLUS 571hp,https://www.sahibinden.com/ilan/vasita-otomobil-porsche-vox-2020-porsche-taycan-4s-performance-plus-571hp-1244033059/detay
101,52.8,Taycan,2021,63000,6675000,30.3,3.3,3,1,100,Yes,No,0.0,0.0,0.0,16.0,PB (79.2 kWh),Sahibinden,Hayır,12600,0.635,0.58,1.0,0.281,0.25,0.95,5.0,0.0,0.0,"6,190,000 (17 Mar 26) -> 6,900,000 (24 Mar 26) -> 6,750,000 (01 Jun 26) -> 6,500,000 (17 Jun 26) -> 6,750,000 (21 Jun 26) -> 6,675,000 (25 Jun 26)",,1303704570,Hatasız Boyasız Porsche Taycan İçi Ateş Kırmızı,https://www.sahibinden.com/ilan/vasita-otomobil-porsche-hatasiz-boyasiz-porsche-taycan-ici-ates-kirmizi-1303704570/detay
102,52.5,4S,2023,33000,9975000,43.1,3.6,1,9,138,Yes,No,0.0,0.0,0.0,30.0,PB (79.2 kWh),Galeriden,Hayır,11000,-0.051,0.633,1.0,0.526,0.6,1.0,5.0,0.0,0.0,"10,350,000 (07 Feb 26) -> 9,975,000 (17 Mar 26)",,1286966985,İNAN GROUP'TAN HATASIZ DOLULAR DOLUSU TAYCAN 4S 33.000KM,https://www.sahibinden.com/ilan/vasita-otomobil-porsche-inan-group-tan-hatasiz-dolular-dolusu-taycan-4s-33.000km-1286966985/detay
103,52.2,4S,2025,9000,16500000,8.3,0.0,0,2,39,Yes,Yes,0.0,0.0,0.0,32.0,PB Plus (105 kWh),Galeriden,Hayır,9000,-0.707,0.7,1.0,0.561,1.0,1.0,5.0,3.0,0.0,"16,500,000 (17 May 26)",,1316392742,SIFIR AYARINDA ÖZEL SİPARİŞ ARKA AKS / TEBEŞİR RENK / MATRİX FAR,https://www.sahibinden.com/ilan/vasita-otomobil-porsche-sifir-ayarinda-ozel-siparis-arka-aks-tebesir-renk-matrix-far-1316392742/detay
104,52.1,Taycan,2021,53000,6800000,37.9,2.9,2,5,138,Yes,No,0.0,0.0,0.0,28.0,PB (79.2 kWh),Galeriden,Hayır,10600,0.452,0.647,1.0,0.491,0.25,0.95,5.0,0.0,0.0,"6,400,000 (07 Feb 26) -> 6,700,000 (01 Mar 26) -> 6,900,000 (15 Apr 26) -> 6,800,000 (04 May 26) -> 7,000,000 (21 Jun 26) -> 6,800,000 (21 Jun 26)",,1270876427,NOYAN MOTORS SOĞUTMA YOLCU EKRAN TAM DOLU UZUN MENZİL TAYCAN,https://www.sahibinden.com/ilan/vasita-otomobil-porsche-noyan-motors-sogutma-yolcu-ekran-tam-dolu-uzun-menzil-taycan-1270876427/detay
